CENTRO_FORMACION,CODIGO_CENTRO,LATITUD,LONGITUD,GEORREFERENCIACION,NOMBRE_REGIONAL,CODIGO_REGIONAL,NOMBRE_DEPARTAMENTO,CODIGO_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,LATITUD_norm,LONGITUD_norm,distancia_bog,cluster
CENTRO DE LOS RECURSOS NATURALES RENOVABLES - LA SALADA,9101,6.053527,-75.62891,POINT (-75.62891 6.053527),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1,0.1777710568038037,-0.4740325213900654,2.055808233719528,2
CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,9103,10.98772,-74.78277,POINT (-74.78277 10.98772),8,REGIONAL ATLANTICO,ATLANTICO,8,BARRANQUILLA,1,1.8369061792046144,-0.0833848073182887,6.316835279734622,1
CENTRO AGROEMPRESARIAL Y MINERO,9104,10.373,-75.461,POINT (-75.461 10.373),13,REGIONAL BOLIVAR,BOLIVAR,13,CARTAGENA,1,1.6302049937337126,-0.3965114756177417,5.829885504879146,1
CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,9110,5.82556,-73.02979,POINT (-73.02979 5.82556),15,REGIONAL BOYACA,BOYACA,15,TUNJA,1,0.1011165650868512,0.7259347258718883,1.5259245321115964,2
CENTRO PARA LA FORMACION CAFETERA,9112,5.0329,-75.4506,POINT (-75.4506 5.0329),17,REGIONAL CALDAS,CALDAS,17,MANIZALES,1,-0.1654174043225796,-0.3917099815076085,1.415682722222736,2
CENTRO AGROPECUARIO,9113,2.4403,-76.6128,POINT (-76.6128 2.4403),19,REGIONAL CAUCA,CAUCA,19,POPAYAN,1,-1.0371858410935657,-0.9282769483147746,3.4076007879444963,0
CENTRO BIOTECNOLOGICO DEL CARIBE,9114,10.3989,-73.23897,POINT (-73.23897 10.3989),20,REGIONAL CESAR,CESAR,20,VALLEDUPAR,1,1.6389139355343638,0.6293600587606188,5.748577684166754,1
CENTRO AGROINDUSTRIAL DEL META,9117,4.062,-73.51457,POINT (-73.51457 4.062),50,REGIONAL META,META,50,VILLAVICENCIO,1,-0.4918850334442914,0.5021204648421356,0.8555286113859641,2
CENTRO ACUICOLA Y AGROINDUSTRIAL DE GAIRA,9118,11.18334,-74.21667,POINT (-74.21667 11.18334),47,REGIONAL MAGDALENA,MAGDALENA,47,SANTA MARTA,1,1.90268390874297,0.1779734441956849,6.4739566328868765,1
CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,9119,7.8993,-73.51457,POINT (-73.51457 7.8993),54,REGIONAL NORTE DE SANTANDER,NORTE DE SANTANDER,54,CUCUTA,1,0.7984169886267204,0.5021204648421356,3.236662647682022,2
CENTRO AGROINDUSTRIAL,9120,4.568,-75.651,POINT (-75.651 4.568),63,REGIONAL QUINDIO,NARINO,52,SAN PABLO,693,-0.3217412283813745,-0.4842310795528307,1.5854620777552453,2
CENTRO ATENCION SECTOR AGROPECUARIO,9121,4.8144,-75.7007,POINT (-75.7007 4.8144),66,REGIONAL RISARALDA,RISARALDA,66,PEREIRA,1,-0.2388885928724756,-0.507176681213747,1.6319789367513244,2
CENTRO ATENCION SECTOR AGROPECUARIO,9122,6.99189,-73.0686,POINT (-73.0686 6.99189),68,REGIONAL SANTANDER,CORDOBA,23,MONTERIA,1,0.4932980357568751,0.7080168425628321,2.491840836028657,2
CENTRO AGROPECUARIO LA GRANJA,9123,4.171,-74.929,POINT (-74.929 4.171),73,REGIONAL TOLIMA,TOLIMA,73,IBAGUE,1,-0.4552335023141373,-0.1508965845994911,1.01294076825844,2
CENTRO AGROPECUARIO DE BUGA,9124,3.614127,-76.27486,POINT (-76.27486 3.614127),76,REGIONAL VALLE,ATLANTICO,8,SOLEDAD,758,-0.6424834848374613,-0.7722560906630725,2.4608377755815205,0
CENTRO LATINOAMERICANO DE ESPECIES MENORES,9125,4.0456,-76.204,POINT (-76.204 4.0456),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1,-0.4973995757427733,-0.739541295216539,2.23342364096021,0
CENTRO NAUTICO PESQUERO DE BUENAVENTURA,9126,3.88179,-77.041527,POINT (-77.041527 3.88179),76,REGIONAL VALLE,CAUCA,19,GUAPI,318,-0.552481110737549,-1.1262125411373016,3.0831282535484954,0
